Timestamp,Value
1777268947.3703058,65
1777268947.3703763,92
1777268947.3704596,123
1777268947.3705547,163
1777268947.3706934,168
1777268947.370793,185
1777268947.3708885,205
1777268947.3709815,219
1777268947.3710735,225
1777268947.3711596,229
1777268947.37133,229
1777268947.3714175,225
1777268947.3715053,220
1777268947.3715904,223
1777268947.371714,203
1777268947.3718028,185
1777268947.3718877,163
1777268947.3719733,139
1777268947.3720593,104
1777268947.3721454,75
1777268947.3722198,52
1777268947.3722937,29
1777268947.372353,8
1777268947.3724248,-8
1777268947.372512,-29
1777268947.3725982,-59
1777268947.3727124,-92
1777268947.3729472,-126
1777268947.373059,-160
1777268947.3731554,-180
1777268947.373249,-206
1777268947.3733459,-222
1777268947.373441,-229
1777268947.3735375,-229
1777268947.3736715,-230
1777268947.3737693,-223
1777268947.3738644,-213
1777268947.3739595,-199
1777268947.3740528,-179
1777268947.3741646,-151
1777268947.3742666,-110
1777268947.3743498,-74
1777268947.3744338,-45
1777268947.3745165,-17
1777268947.3747547,10
1777268947.3749273,32
1777268947.3750095,56
1777268947.3751228,83
1777268947.3756158,111
1777268947.3759305,156
1777268947.3760743,163
1777268947.376238,180
1777268947.3763263,200
1777268947.3764064,216
1777268947.3764853,223
1777268947.3766541,230
1777268947.376839,229
1777268947.376974,234
1777268947.3770566,223
1777268947.3771365,216
1777268947.377476,207
1777268947.3775618,190
1777268947.3778594,171
1777268947.378333,146
1777268947.3784451,112
1777268947.3785114,83
1777268947.3786411,60
1777268947.3787074,37
1777268947.378773,16
1777268947.3788383,-7
1777268947.3789523,-28
1777268947.379032,-57
1777268947.3791068,-89
1777268947.3791978,-132
1777268947.3792856,-159
1777268947.3793726,-179
1777268947.3794608,-205
1777268947.3795438,-222
1777268947.3796296,-228
1777268947.3797126,-229
1777268947.3797994,-230
1777268947.3799088,-223
1777268947.3799987,-215
1777268947.3800826,-201
1777268947.3802102,-179
1777268947.3803399,-153
1777268947.380424,-112
1777268947.3810222,-76
1777268947.3814034,-47
1777268947.3815258,-19
1777268947.381673,9
1777268947.3818014,25
1777268947.381891,47
1777268947.3820267,73
1777268947.3821342,102
1777268947.3822763,146
1777268947.3824437,160
1777268947.3825614,175
1777268947.38266,195
1777268947.3828108,213
1777268947.3829224,221
1777268947.383023,232
1777268947.3831246,228
1777268947.383224,231
1777268947.3833942,226
1777268947.3834963,218
1777268947.38362,210
1777268947.383753,195
1777268947.3838542,177
1777268947.3839898,154
1777268947.3841255,122
1777268947.384382,90
1777268947.384466,67
1777268947.3845499,45
1777268947.38463,22
1777268947.3846965,0
1777268947.3848221,-16
1777268947.384921,-41
1777268947.3850067,-75
1777268947.385106,-110
1777268947.3852391,-161
1777268947.3853488,-161
1777268947.3854814,-195
1777268947.3856237,-218
1777268947.3857472,-226
1777268947.3861187,-232
1777268947.386245,-231
1777268947.3863907,-225
1777268947.3864992,-217
1777268947.3866115,-205
1777268947.3867211,-188
1777268947.3868504,-165
1777268947.3869739,-130
1777268947.3870752,-89
1777268947.3872037,-59
1777268947.387305,-32
1777268947.3873894,-4
1777268947.3874712,18
1777268947.387552,37
1777268947.3876336,64
1777268947.387724,92
1777268947.3878198,123
1777268947.3879273,164
1777268947.3883505,167
1777268947.3885496,185
1777268947.3886714,205
1777268947.388794,221
1777268947.3889272,226
1777268947.3890557,230
1777268947.389228,230
1777268947.3895392,226
1777268947.3897285,220
1777268947.3898733,214
1777268947.390105,203
1777268947.3902524,186
1777268947.3903384,164
1777268947.3904896,139
1777268947.3905756,103
1777268947.3906467,81
1777268947.3907182,51
1777268947.3907876,29
1777268947.3908587,8
1777268947.3909338,-8
1777268947.3910182,-29
1777268947.3911347,-59
1777268947.3912222,-92
1777268947.391323,-135
1777268947.3914225,-159
1777268947.3915262,-181
1777268947.3916242,-205
1777268947.3917217,-224
1777268947.3920548,-220
1777268947.392301,-229
1777268947.3925183,-231
1777268947.392627,-222
1777268947.3927274,-214
1777268947.3928766,-199
1777268947.3929808,-178
1777268947.3930812,-151
1777268947.3931825,-108
1777268947.3932695,-74
1777268947.3933558,-45
1777268947.3934288,-9
1777268947.3934886,6
1777268947.3935719,22
1777268947.3936453,41
1777268947.3937156,68
1777268947.393812,97
1777268947.3938963,129
1777268947.3939776,166
1777268947.3940606,169
1777268947.3941581,190
1777268947.3942423,206
1777268947.3943238,222
1777268947.3945203,227
1777268947.3946378,228
1777268947.394772,230
1777268947.3948622,226
1777268947.3949475,219
1777268947.3950331,213
1777268947.3951144,201
1777268947.395197,183
1777268947.3952773,163
1777268947.3953583,134
1777268947.3954258,99
1777268947.395493,79
1777268947.39556,54
1777268947.3956265,32
1777268947.3957188,10
1777268947.395803,-12
1777268947.395882,-26
1777268947.3959599,-71
1777268947.3960497,-104
1777268947.3961735,-157
1777268947.3962748,-169
1777268947.3963695,-192
1777268947.396464,-214
1777268947.396555,-224
1777268947.396679,-230
1777268947.3968987,-231
1777268947.3971362,-228
1777268947.397232,-211
1777268947.3973463,-210
1777268947.3974187,-190
1777268947.3974893,-169
1777268947.3975594,-133
1777268947.3976197,-91
1777268947.3976789,-63
1777268947.3977382,-36
1777268947.3977878,-8
1777268947.3978372,14
1777268947.3978863,33
1777268947.3979356,60
1777268947.3979855,88
1777268947.3980446,115
1777268947.398104,161
1777268947.398164,163
1777268947.3982224,182
1777268947.3983045,203
1777268947.3983662,218
1777268947.3984244,225
1777268947.3984842,228
1777268947.3985543,230
1777268947.3986158,228
1777268947.3986742,221
1777268947.3987339,216
1777268947.3987937,204
1777268947.3988526,188
1777268947.3989108,169
1777268947.3989685,142
1777268947.3990264,109
1777268947.3990765,80
1777268947.3991258,56
1777268947.3991776,34
1777268947.399227,12
1777268947.399315,-10
1777268947.399377,-35
1777268947.3994355,-68
1777268947.399506,-102
1777268947.3995757,-154
1777268947.3996596,-166
1777268947.3997335,-191
1777268947.3998022,-213
1777268947.3998718,-224
1777268947.39994,-230
1777268947.4000096,-231
1777268947.4000797,-226
1777268947.4001484,-219
1777268947.400217,-210
1777268947.4003112,-192
1777268947.4003823,-171
1777268947.4004514,-137
1777268947.4005108,-96
1777268947.4005787,-65
1777268947.4006402,-38
1777268947.4006994,-10
1777268947.40075,18
1777268947.4008005,38
1777268947.4008517,64
1777268947.4009151,92
1777268947.4009736,122
1777268947.4010458,164
1777268947.401106,167
1777268947.4011664,186
1777268947.4012277,205
1777268947.4013078,220
1777268947.4013715,224
1777268947.4014306,229
1777268947.4014912,230
1777268947.4015517,226
1777268947.4016118,220
1777268947.4016726,214
1777268947.4017317,203
1777268947.4017906,185
1777268947.401851,165
1777268947.4019113,138
1777268947.4019694,104
1777268947.4020185,75
1777268947.4020696,52
1777268947.4021213,29
1777268947.402165,8
1777268947.4022176,-9
1777268947.4023001,-29
1777268947.402371,-59
1777268947.4024327,-92
1777268947.4025013,-134
1777268947.402581,-159
1777268947.4026535,-180
1777268947.4027224,-204
1777268947.4027922,-222
1777268947.4028668,-229
1777268947.4029362,-229
1777268947.4030068,-229
1777268947.403077,-222
1777268947.4031475,-213
1777268947.4032168,-193
1777268947.4033065,-179
1777268947.40346,-151
1777268947.40353,-110
1777268947.403591,-74
1777268947.403651,-45
1777268947.4037127,-17
1777268947.4037662,10
1777268947.403817,32
1777268947.4038672,57
1777268947.403917,84
1777268947.4039757,113
1777268947.4040368,157
1777268947.4040987,163
1777268947.4041576,180
1777268947.4042172,200
1777268947.4042954,216
1777268947.4043584,223
1777268947.4044185,229
1777268947.4044785,229
1777268947.4045389,228
1777268947.4046097,224
1777268947.40467,217
1777268947.4047318,207
1777268947.4047925,190
1777268947.4048536,171
1777268947.4049134,147
1777268947.4049723,113
1777268947.4050305,83
1777268947.405081,59
1777268947.405133,37
1777268947.405189,15
1777268947.4052405,-8
1777268947.405323,-20
1777268947.4053884,-58
1777268947.405452,-91
1777268947.4055233,-131
1777268947.4055953,-160
1777268947.4056673,-180
1777268947.4057384,-204
1777268947.405808,-223
1777268947.405878,-229
1777268947.4059486,-230
1777268947.406021,-230
1777268947.4072955,-224
1777268947.4074752,-215
1777268947.4100556,-200
1777268947.4103,-181
1777268947.41049,-153
1777268947.4106045,-112
1777268947.4107018,-77
1777268947.4107876,-47
1777268947.4108758,-18
1777268947.4109488,10
1777268947.4110227,30
1777268947.4110947,55
1777268947.4111776,80
1777268947.4112675,109
1777268947.4113965,155
1777268947.4123573,162
1777268947.4125226,179
1777268947.412627,199
1777268947.4127905,215
1777268947.412927,230
1777268947.4130259,230
1777268947.4131553,229
1777268947.4132516,229
1777268947.4133394,225
1777268947.4134548,217
1777268947.414083,209
1777268947.4142628,192
1777268947.414464,173
1777268947.4146004,148
1777268947.41473,115
1777268947.41484,85
1777268947.4149475,61
1777268947.4168842,39
1777268947.4170647,17
1777268947.4171824,-6
1777268947.4175646,-26
1777268947.4177048,-56
1777268947.417839,-88
1777268947.4195347,-128
1777268947.419852,-151
1777268947.4200158,-177
1777268947.4201705,-204
1777268947.4203176,-222
1777268947.420464,-229
1777268947.4224615,-230
1777268947.4229307,-231
1777268947.4234073,-226
1777268947.4237754,-215
1777268947.4242883,-202
1777268947.4249344,-182
1777268947.4251301,-155
1777268947.4253078,-114
1777268947.4254465,-78
1777268947.42563,-49
1777268947.425763,-20
1777268947.4275515,8
1777268947.4277806,28
1777268947.4279127,43
1777268947.4280407,71
1777268947.4281561,99
1777268947.4282906,134
1777268947.428427,163
1777268947.4286182,170
1777268947.4304848,190
1777268947.430679,208
1777268947.4308245,222
1777268947.4309618,227
1777268947.4311204,228
1777268947.4312565,230
1777268947.4331436,225
1777268947.4333878,219
1777268947.433536,213
1777268947.4336815,200
1777268947.4338245,182
1777268947.4339542,162
1777268947.4357064,132
1777268947.4360187,107
1777268947.436145,69
1777268947.4362538,47
1777268947.4363577,24
1777268947.4364405,3
1777268947.436562,-15
1777268947.436686,-38
1777268947.438492,-72
1777268947.4386663,-107
1777268947.4388053,-159
1777268947.43899,-170
1777268947.4391613,-194
1777268947.441421,-217
1777268947.4415693,-226
1777268947.4416435,-233
1777268947.4417171,-232
1777268947.4417949,-225
1777268947.4418643,-218
1777268947.4440696,-208
1777268947.4442337,-190
1777268947.4443095,-167
1777268947.4443846,-132
1777268947.4444451,-90
1777268947.4466565,-61
1777268947.4467587,-34
1777268947.4468288,-6
1777268947.4468923,17
1777268947.4469564,37
1777268947.4470203,64
1777268947.4470758,90
1777268947.447135,122
1777268947.44952,163
1777268947.4497085,166
1777268947.4498458,184
1777268947.4499946,204
1777268947.4501233,220
1777268947.4502966,226
1777268947.4522269,230
1777268947.452341,230
1777268947.4524078,227
1777268947.4524703,221
1777268947.45253,216
1777268947.4526405,204
1777268947.4548612,186
1777268947.4551325,165
1777268947.455237,141
1777268947.455359,106
1777268947.4554138,78
1777268947.4554646,53
1777268947.4555156,32
1777268947.4555678,10
1777268947.457756,-13
1777268947.4580197,-36
1777268947.4581516,-71
1777268947.458297,-104
1777268947.4584389,-158
1777268947.4601705,-168
1777268947.4604895,-183
1777268947.4606805,-213
1777268947.4608555,-224
1777268947.4610066,-233
1777268947.46116,-232
1777268947.463006,-227
1777268947.4632547,-218
1777268947.4634345,-209
1777268947.4636009,-190
1777268947.4637475,-167
1777268947.4656885,-133
1777268947.4658916,-91
1777268947.4661248,-63
1777268947.466223,-36
1777268947.4662783,-7
1777268947.4663308,15
1777268947.4663835,33
1777268947.4685707,62
1777268947.4686754,88
1777268947.4687414,119
1777268947.4688466,163
1777268947.468907,166
1777268947.468964,182
